id;parent_id;category_name;category_code;category_description;created_date;last_updated
1;;Extrase;Extrase;Extrase de informare;2021-07-01;null
2;;Servicii;Servicii;Servicii pozitionare GNSS;2021-07-01;null
3;;Inregistrari;Inregistrari;Inregistrari GNSS;2021-07-01;null
